iter	f_val	grad_norm	x0	x1
355	0.03660578	0.20167201	0.80886573	0.65340664
356	0.03639775	0.20099951	0.80940947	0.65428927
357	0.03619112	0.20033024	0.80995111	0.65516908
358	0.03598588	0.19966419	0.81049067	0.65604608
359	0.03578200	0.19900132	0.81102815	0.65692028
360	0.03557948	0.19834163	0.81156356	0.65779170
361	0.03537830	0.19768508	0.81209693	0.65866035
362	0.03517847	0.19703165	0.81262825	0.65952624
363	0.03497996	0.19638133	0.81315755	0.66038939
364	0.03478277	0.19573408	0.81368483	0.66124980
365	0.03458688	0.19508989	0.81421011	0.66210749
366	0.03439228	0.19444874	0.81473338	0.66296248
367	0.03419897	0.19381060	0.81525468	0.66381476
368	0.03400693	0.19317546	0.81577401	0.66466436
369	0.03381615	0.19254329	0.81629137	0.66551129
370	0.03362663	0.19191407	0.81680678	0.66635556
371	0.03343835	0.19128779	0.81732026	0.66719717
372	0.03325130	0.19066442	0.81783180	0.66803615
373	0.03306548	0.19004394	0.81834143	0.66887250
374	0.03288087	0.18942634	0.81884915	0.66970623
375	0.03269746	0.18881160	0.81935497	0.67053736
376	0.03251525	0.18819968	0.81985891	0.67136590
377	0.03233422	0.18759058	0.82036097	0.67219186
378	0.03215437	0.18698428	0.82086116	0.67301525
379	0.03197569	0.18638076	0.82135949	0.67383607
380	0.03179816	0.18578000	0.82185598	0.67465435
381	0.03162178	0.18518197	0.82235064	0.67547009
382	0.03144654	0.18458668	0.82284347	0.67628331
383	0.03127243	0.18399408	0.82333448	0.67709401
384	0.03109944	0.18340417	0.82382368	0.67790221
385	0.03092757	0.18281694	0.82431109	0.67870791
386	0.03075680	0.18223235	0.82479671	0.67951113
387	0.03058712	0.18165039	0.82528055	0.68031187
388	0.03041853	0.18107106	0.82576263	0.68111015
389	0.03025102	0.18049432	0.82624294	0.68190598
390	0.03008458	0.17992016	0.82672151	0.68269937
391	0.02991921	0.17934857	0.82719833	0.68349033
392	0.02975488	0.17877953	0.82767343	0.68427887
393	0.02959161	0.17821302	0.82814680	0.68506500
394	0.02942937	0.17764903	0.82861845	0.68584872
395	0.02926816	0.17708754	0.82908841	0.68663006
396	0.02910797	0.17652853	0.82955666	0.68740901
397	0.02894880	0.17597199	0.83002324	0.68818560
398	0.02879063	0.17541790	0.83048813	0.68895982
399	0.02863346	0.17486625	0.83095135	0.68973169
400	0.02847729	0.17431702	0.83141292	0.69050122
401	0.02832210	0.17377019	0.83187283	0.69126842
402	0.02816788	0.17322575	0.83233110	0.69203330
403	0.02801464	0.17268369	0.83278773	0.69279586
404	0.02786235	0.17214399	0.83324274	0.69355613
405	0.02771102	0.17160664	0.83369612	0.69431410
406	0.02756064	0.17107161	0.83414790	0.69506978
407	0.02741120	0.17053890	0.83459808	0.69582319
408	0.02726269	0.17000849	0.83504666	0.69657434
409	0.02711511	0.16948037	0.83549366	0.69732323
410	0.02696844	0.16895452	0.83593908	0.69806987
411	0.02682269	0.16843093	0.83638292	0.69881428
412	0.02667785	0.16790959	0.83682521	0.69955645
413	0.02653390	0.16739047	0.83726595	0.70029641
414	0.02639085	0.16687357	0.83770513	0.70103416
415	0.02624868	0.16635888	0.83814278	0.70176970
416	0.02610740	0.16584638	0.83857890	0.70250306
417	0.02596698	0.16533605	0.83901350	0.70323423
